index|lemma|human_readable_pos|definition|synset_key_name|example|new_sentence
23|program|noun|a document stating the aims and principles of a political party|platform.n.02|they won the election even though they offered no positive program|He spent the weekend drafting the party's program for the upcoming election.
24|program|noun|a document stating the aims and principles of a political party|platform.n.02|they won the election even though they offered no positive program|The new chairman vowed to release an updated program that outlines the party's vision and strategy for the upcoming elections.
25|program|noun|a document stating the aims and principles of a political party|platform.n.02|they won the election even though they offered no positive program|Before joining the political party, I reviewed their program to make sure I align with their aims and principles.
26|program|noun|a document stating the aims and principles of a political party|platform.n.02|they won the election even though they offered no positive program|The democratic program outlines their platform on health care reform and immigration policy.
27|program|noun|a document stating the aims and principles of a political party|platform.n.02|they won the election even though they offered no positive program|We reviewed the program put forth by the political party and found it lacking substantial change.
28|become|verb|come into existence|become.v.03|What becomes has duration|The rare plant species must take years to become, due to its unique process of growth.
29|become|verb|come into existence|become.v.03|What becomes has duration|Scientists have been working tirelessly to understand how life and complex organisms become in the extreme environments of other planets.
30|become|verb|come into existence|become.v.03|What becomes has duration|As soon as the first few notes are played, the familiar melody that fans wait several minutes just to hear becomes instantly recognizable.
31|become|verb|come into existence|become.v.03|What becomes has duration|After the construction of the bridge, a new tourist spot became development in the town.
32|become|verb|come into existence|become.v.03|What becomes has duration|When the company made the announcement of their new product, widespread curiosity and anticipation became obvious.
33|become|verb|come into existence|become.v.03|What becomes has duration|When will the new spacecraft become operational?
34|become|verb|come into existence|become.v.03|What becomes has duration|The art piece really attracted our attention after it began to become a reality.
35|become|verb|come into existence|become.v.03|What becomes has duration|At the stroke of midnight, a new day will become and the year ahead will begin.
36|become|verb|come into existence|become.v.03|What becomes has duration|During the creation of the universe, many celestial bodies became and continue to become every day.
37|become|verb|come into existence|become.v.03|What becomes has duration|The street corner became the meeting place for protesters and activists.
38|become|verb|come into existence|become.v.03|What becomes has duration|The decision on the new project funding will become clear after the meeting.
39|become|verb|come into existence|become.v.03|What becomes has duration|A quaint village emerged and became a bustling city.
40|become|verb|come into existence|become.v.03|What becomes has duration|After the Industrial Revolution, countless new industries became and quickly began to dominate the economy.
41|become|verb|come into existence|become.v.03|What becomes has duration|A new constellation becomes visible in the night sky.
42|become|verb|come into existence|become.v.03|What becomes has duration|The first stars became visible in the primordial universe.
43|become|verb|come into existence|become.v.03|What becomes has duration|The city has expanded enormously since ranch but it hasn't become a state yet.
44|become|verb|come into existence|become.v.03|What becomes has duration|The plans for the new building will become more concrete after the city grants approval.
45|become|verb|come into existence|become.v.03|What becomes has duration|After weeks of hard work and perseverance, his dream finally became a reality.
46|become|verb|come into existence|become.v.03|What becomes has duration|A curious aura began to bloomm as soon as she entered the vacant house; something truly otherworldly beset to become.
47|become|verb|come into existence|become.v.03|What becomes has duration|When a baby is born, they officially become a new human being.
48|become|verb|come into existence|become.v.03|What becomes has duration|As technology advances, new possibilities become available.
49|become|verb|come into existence|become.v.03|What becomes has duration|A butterfly becomes what it is through metamorphosis.
50|become|verb|come into existence|become.v.03|What becomes has duration|As the sun rose from behind the mountains, a beautiful rainbow became visible over the valley.
51|become|verb|come into existence|become.v.03|What becomes has duration|After many months of hard work and planning, the business finally became a reality.
52|become|verb|come into existence|become.v.03|What becomes has duration|The company's existing branding infrastructure became obsolete, and a reboot was required to level up with the competition.
53|become|verb|come into existence|become.v.03|What becomes has duration|When news of the pandemic became public, people all around the world started to worry.
54|rather|adverb|more readily or willingly|preferably.r.01|I'd rather be in Philadelphia|He would rather ski than snowboard because he finds it more enjoyable.
55|rather|adverb|more readily or willingly|preferably.r.01|I'd rather be in Philadelphia|She would rather study for her exam than attend the party.
56|rather|adverb|more readily or willingly|preferably.r.01|I'd rather be in Philadelphia|Sarah would rather stay in and watch a movie tonight than go out to party with her friends.
57|consequently|adverb|as a consequence|consequently.r.02|he had good reason to be grateful for the opportunities which they had made available to him and which consequently led to the good position he now held|He failed to show up for work for multiple days and consequently lost his job.
58|consequently|adverb|as a consequence|consequently.r.02|he had good reason to be grateful for the opportunities which they had made available to him and which consequently led to the good position he now held|I forgot to set the alarm, consequently I overslept this morning.
59|consequently|adverb|as a consequence|consequently.r.02|he had good reason to be grateful for the opportunities which they had made available to him and which consequently led to the good position he now held|He overate last night, consequently waking up feeling very sluggish and tired this morning.
60|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|After years of hard work and dedication, Steven's effort paid off with the publication of his first book.
61|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship trophy in his first season with the team was his ultimate effort.
62|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|His master's thesis was his greatest effort so far, resulting in high praise from his supervisors.
63|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship was the team's greatest effort this season.
64|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship this year was the team’s best effort.
65|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship was the team's greatest effort.
66|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Even though he came in second place, his incredible jump was his best effort yet.
67|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship was his best effort in his entire career.
68|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship was the ultimate effort of the team.
69|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|The entrepreneur's building construction showcased her finest effort.
70|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship was the culmination of their months-long effort.
71|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the national championship was their greatest effort as a team.
72|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Her gold medal was a magnificent effort that everyone trumped this year.
73|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship was our team's finest effort this season.
74|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the gold medal was the diver's incredible effort.
75|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|She put in a lot of effort to finish the marathon with a personal best time.
76|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|She poured a lot of effort into her studies and it paid off with excellent grades.
77|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|Charlotte didn't succeed in her attempt, but she was proud of the effort that she put in.
78|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|She put a lot of effort into her exercise routine and it showed in her improved health.
79|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|She pushed her body to the limit and ended up sweaty and tired from the vigorous effort in her workout.
80|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|He poured great effort into preparing for the championship competition.
81|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|Emily put in a lot of effort to finish her project on time and ace her final exams.
82|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|She exerted every effort possible to beat her rival in the race.
83|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|After hours of effort, she finally completed the marathon.
84|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|She hunched over the keyboard all night, pouring so much effort into the project she felt tired even though she had not moved contrarily even slightly.
85|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|She put in great effort to finish the marathon despite the cramps.
86|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|Running this marathon took a tremendous effort from her.
87|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|Although he tried his best, his effort was unsuccessful.
88|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|Pursuing a regular exercise routine requires a lot of effort.
89|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|She admired his effort in finishing the marathon.
90|reduced|adjective|well below normal (especially in price)|reduced.s.02|The bill is designed to provide special schooling for more deaf students in the scholastic age at a reduced cost to the state.|I was able to find a pair of running shoes that were equally comfortable and supportive but also came at a reduced price due to the holiday sale.
91|reduced|adjective|well below normal (especially in price)|reduced.s.02|The bill is designed to provide special schooling for more deaf students in the scholastic age at a reduced cost to the state.|I found a great deal on shoes at the store - they were reduced by 50%!
92|reduced|adjective|well below normal (especially in price)|reduced.s.02|The bill is designed to provide special schooling for more deaf students in the scholastic age at a reduced cost to the state.|I bought this jacket at a reduced price.
93|set|verb|become gelatinous|jell.v.01|A number of c clamps hold the pieces together on the jig until the glue sets.|The jelly slowly began to set as it cooled in the refrigerator.
94|set|verb|become gelatinous|jell.v.01|A number of c clamps hold the pieces together on the jig until the glue sets.|I left the Jello mixture in the fridge to set overnight.
95|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|She gave me specific instructions on how to prepare the dish.
96|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|Please be specific with the details you provide in the report.
97|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|She gave specific instructions on how to complete the project.
98|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The trainer provided specific instructions regarding the time, duration, and intensity of the exercise routine.
99|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The guidelines detailed specific measurements and materials needed for the project.
100|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The teacher gave specific instructions on how to solve the math problem.
101|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|He provided specific instructions for how to complete the task.
102|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|I want to give specific instructions on how to properly use the equipment.
103|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The instructions for the assignment were very specific about the required word count and formatting.
104|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The academic guidelines provided specific instructions on formatting the research paper.
105|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|I gave him specific instructions on how to prepare the presentation.
106|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|Could you be more specific about which book you want me to lend you?
107|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|She provided a specific list of instructions for completing the project.
108|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The plumber gave a specific estimate for the cost of repairs.
109|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The recipe called for specific measurements of each ingredient.
110|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The professor gave us specific guidelines on how to format our research papers.
111|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|Can you please reach me the pen on the table?
112|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|The receptionist will reach the package to you as soon as it arrives.
113|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|The nurse reached the medication to the patient before bedtime.
114|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|I reached over and handed the car keys to my brother.
115|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|He reached the ownership of the house over to his sister.
116|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|He reached the package safely to its intended recipient.
117|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|The lawyer finally reached the custody of the documents to the court.
118|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|I will reach you the document once I receive it.
119|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|She reached the keys to her assistant and went out.
120|need|verb|have or feel a need for|need.v.03|always needing friends and money|Lucy is constantly nagging her husband, as she always needs attention.
121|need|verb|have or feel a need for|need.v.03|always needing friends and money|I always need to have a hot cup of coffee in the morning.
122|need|verb|have or feel a need for|need.v.03|always needing friends and money|She had accustomed herself to a small life, but she couldn't help needing big dreams.
123|need|verb|have or feel a need for|need.v.03|always needing friends and money|I need to take a break because I am feeling overwhelmed.
124|need|verb|have or feel a need for|need.v.03|always needing friends and money|She realizes now that she needs financial stability in her life.
125|need|verb|have or feel a need for|need.v.03|always needing friends and money|She is always needing affirmation from others to feel valued.
126|need|verb|have or feel a need for|need.v.03|always needing friends and money|I can tell she needs affection from the way she hugs her cat.
127|need|verb|have or feel a need for|need.v.03|always needing friends and money|I always need to have a cup of coffee in the morning to start my day.
128|need|verb|have or feel a need for|need.v.03|always needing friends and money|I can see that you need more time to learn this material.
129|need|verb|have or feel a need for|need.v.03|always needing friends and money|I think I’m going to need a vacation after this hectic month.
130|economical|adjective|avoiding waste|economical.s.03|an economical meal|He's a naturally simple man with super economical habits.
131|economical|adjective|of or relating to an economy, the system of production and management of material wealth|economic.a.01|aspects of social, political, and economical life|The economists discussed the economical policies of the government.
132|printing|noun|the business of producing printed material for sale or distribution|printing.n.02|Are you using the most economical printing methods, paper, etc..|The printing company specializes in producing high-quality marketing material for small businesses.
133|paper|noun|a business firm that publishes newspapers|newspaper.n.02|He then got a job with the chicago herald-examiner as a circulation slugger, a rough fighter employed to see that his paper's news pitches were not trespassed upon by rival vendors.|The paper has been in operation for over a century.
134|cheap|adjective|of very poor quality; flimsy|bum.s.01|Perhaps it is only an analogy, but one of the most obvious differences between cheap fiction and fiction of an enduring quality is the development of a theme or story with leisure and anticipation.|I stepped on the cheap plastic toy and it was immediately crushed under my feet.
135|cheap|adjective|of very poor quality; flimsy|bum.s.01|Perhaps it is only an analogy, but one of the most obvious differences between cheap fiction and fiction of an enduring quality is the development of a theme or story with leisure and anticipation.|I can feel the stitching coming undone on this cheap jacket.
136|cheap|adjective|tastelessly showy|brassy.s.02|Claire felt suddenly small and cheap, heroine of a trivial episode in the voluminous history of don juan.|I don't want my clothing to look cheap with tacky designs and gaudy embellishments.
137|cheap|adjective|tastelessly showy|brassy.s.02|Claire felt suddenly small and cheap, heroine of a trivial episode in the voluminous history of don juan.|I thought the decorations at the carnival were cheap and gaudy.
138|communication|noun|a connection allowing access between persons or places|communication.n.03|how many lines of communication can there be among four people?|The construction of the new bridge improved the communication between the two towns.
139|communication|noun|a connection allowing access between persons or places|communication.n.03|how many lines of communication can there be among four people?|The room didn't have any windows, and the lack of communication with the outside world made him feel anxious.
140|communication|noun|something that is communicated by or to or between people or groups|communication.n.02|Mary would have to carry the human communication.|The email contained an urgent communication from the CEO announcing important changes coming to the company.
141|communication|noun|something that is communicated by or to or between people or groups|communication.n.02|Mary would have to carry the human communication.|The misinterpreted letters ruined the communication between them.
142|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The key to achieving a perfect neoclassical orchestra sound is a great discipline and technique when playing the music.
143|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|John's technique of playing the guitar was an example of true mastery that came from years of nonstop practice.
144|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The player's technique was flawless, nothing could stop him from scoring a goal.
145|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|Ken's painting technique is impeccable due to years of diligent practice and constant development.
146|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The dancer's flawless technique amazed the audience every time she performed.
147|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|Jack developed excellent pitching technique through endless hours of dedicated practice and hard work, giving him an edge over his competitors.
148|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|Painter Bob Ross excelled in the technique of layering colors to create blended and lifelike landscapes on the canvas.
149|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The pianist's flawless technique stunned the audience and left them in awe.
150|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The ballet dancer's impeccable technique was learned through countless hours of daily rehearsals.
151|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The new dance instructor emphasized the importance of a strong technique foundation to her students.
152|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The art instructor praised her drawings and the air brush technique she employed to create a near lifelike portrait of the subject.
153|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The chef's knife-cutting technique had improved significantly over the years with plenty of practice and familiarity with the skills.
154|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|She demonstrated flawless snowboarding technique after years of training and mastering the fundamentals.
155|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|She has developed great basketball-shooting technique through consistent practice and hard work.
156|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The pianist's exquisite technique shone through during the concerto, clearly demonstrating their mastery of the instrument.
157|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|She has excellent blocking technique in volleyball.
158|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|After years of dedicated training and practice, Eric developed an impeccable pitching technique.
159|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|Her piano techniques had improved after daily practice and studies.
160|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|She honed her guitar playing technique through years of consistent practice and dedication.
161|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The Olympic Gold medallist showcased amazing shooting technique which was developed through years of consistent practice and dedication.
162|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|With his flawless technique, the pianist left the entire audience mesmerized.
163|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The pianist's technique was impeccable because of years of daily practice and dedication.
164|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|With years of training and practice, Freddie demonstrated a perfect handling technique when it came to playing the guitar.
165|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|Caitlin spent years perfecting her knitting technique, resulting in smooth and faultless rows during every project.
166|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|Even though he lacked natural athletic ability, he learned to excel in martial arts through diligent training and perfecting his technique.
167|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|Her flute playing technique was astounding, as she had clearly practiced extensively and put in the effort to perfect her skills.
168|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The chef's mastery of chopping and seasoning was a testament to his technique.
169|substitute|verb|be a substitute|substitute.v.02|The young teacher had to substitute for the sick colleague|When the singer got sick, her protege had to substitute for her at the concert.
170|substitute|verb|be a substitute|substitute.v.02|The young teacher had to substitute for the sick colleague|My soccer team had to substitute our star player due to an injury.
171|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|She struck an elegant attitude with her hands on her hips and head tilted back.
172|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|The dancer's grand jete ended with a stunning attitude that left the audience mesmerized.
173|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|She struck her best attitude in response to the photographer's request.
174|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|During the performance, the ballerina nailed the difficult jumps and struck the perfect attitude for applause.
175|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|The model had the perfect attitude for the fashion shoot.
176|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|The prima ballerina struck an elegant attitude on stage to mesmerize the packed audience.
177|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|The ballerinas effortlessly struck graceful attitudes and impressed everyone in the audience.
178|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|The runway model nailed every attitude in the fashion show.
179|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|Her attitude in the performance won her high praise from the audience.
180|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|The ballerina captured the attention of the audience with her graceful attitude.
181|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|The dancer's stance conveyed an attitude of fear during the dramatic performance.
182|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|She practiced a particular attitude for the climactic scene in the play.
183|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|The ballet dancers practiced their attitudes tirelessly to achieve perfection on stage.
184|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|The dancer held an impressive attitude during her performance.
185|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|She struck a fierce attitude, causing the audience to roar with applause.
186|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|Her ballet teacher corrected her attitude to improve her form.
187|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|The dancer's graceful attitude captivated the audience.
188|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|The yoga instructor corrected her attitude in the middle of the pose to make it more effective.
189|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|The dancer's attitude impresses the judges with the perfect form of her leg and foot.
190|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|The dance requires precise steps and a particular attitude in order to convey elegance and grace.
191|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|The ballet dancer perfected her attitude by lifting one leg behind her while leaning forward gracefully.
192|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|Her dance instructor critiqued her attitude during the recital.
193|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|The yoga teacher corrected my attitude during the meditation.
194|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|She practiced yoga to improve her posture and attitude.
195|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|Her dance instructor instructed her on improving her attitude during ballet class.
196|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|Her yoga teacher helped her correct her attitude for proper alignment in Downward-Facing Dog.
197|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|She straightened her back and lifted her chin to adjust her attitude in yoga pose.
198|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|Her dancing improved once she focused on maintaining her posture and attitude.
199|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|The ballet dancer's attitude was impeccable as she gracefully extended her leg behind her body.
200|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|The dancer's attitude was perfect during the performance.
201|encourage|verb|spur on|encourage.v.03|His financial success encouraged him to look for a wife|Mary's constant words of encouragement encouraged John to pursue his dreams without fear of failure.
202|encourage|verb|spur on|encourage.v.03|His financial success encouraged him to look for a wife|Marie's excitement and enthusiasm during the baseball games always encouraged her teammates to play to the best of their abilities.
