index|lemma|human_readable_pos|definition|synset_key_name|example|new_sentence|v__human
39|become|verb|come into existence|become.v.03|What becomes has duration|A quaint village emerged and became a bustling city.|0
40|become|verb|come into existence|become.v.03|What becomes has duration|After the Industrial Revolution, countless new industries became and quickly began to dominate the economy.|1
41|become|verb|come into existence|become.v.03|What becomes has duration|A new constellation becomes visible in the night sky.|0
42|become|verb|come into existence|become.v.03|What becomes has duration|The first stars became visible in the primordial universe.|0
43|become|verb|come into existence|become.v.03|What becomes has duration|The city has expanded enormously since ranch but it hasn't become a state yet.|0
44|become|verb|come into existence|become.v.03|What becomes has duration|The plans for the new building will become more concrete after the city grants approval.|0
45|become|verb|come into existence|become.v.03|What becomes has duration|After weeks of hard work and perseverance, his dream finally became a reality.|0
46|become|verb|come into existence|become.v.03|What becomes has duration|A curious aura began to bloomm as soon as she entered the vacant house; something truly otherworldly beset to become.|0
47|become|verb|come into existence|become.v.03|What becomes has duration|When a baby is born, they officially become a new human being.|0
48|become|verb|come into existence|become.v.03|What becomes has duration|As technology advances, new possibilities become available.|0
49|become|verb|come into existence|become.v.03|What becomes has duration|A butterfly becomes what it is through metamorphosis.|0
50|become|verb|come into existence|become.v.03|What becomes has duration|As the sun rose from behind the mountains, a beautiful rainbow became visible over the valley.|0
51|become|verb|come into existence|become.v.03|What becomes has duration|After many months of hard work and planning, the business finally became a reality.|0
52|become|verb|come into existence|become.v.03|What becomes has duration|The company's existing branding infrastructure became obsolete, and a reboot was required to level up with the competition.|0
53|become|verb|come into existence|become.v.03|What becomes has duration|When news of the pandemic became public, people all around the world started to worry.|0
54|rather|adverb|more readily or willingly|preferably.r.01|I'd rather be in Philadelphia|He would rather ski than snowboard because he finds it more enjoyable.|1
55|rather|adverb|more readily or willingly|preferably.r.01|I'd rather be in Philadelphia|She would rather study for her exam than attend the party.|1
56|rather|adverb|more readily or willingly|preferably.r.01|I'd rather be in Philadelphia|Sarah would rather stay in and watch a movie tonight than go out to party with her friends.|1
57|consequently|adverb|as a consequence|consequently.r.02|he had good reason to be grateful for the opportunities which they had made available to him and which consequently led to the good position he now held|He failed to show up for work for multiple days and consequently lost his job.|1
58|consequently|adverb|as a consequence|consequently.r.02|he had good reason to be grateful for the opportunities which they had made available to him and which consequently led to the good position he now held|I forgot to set the alarm, consequently I overslept this morning.|1
59|consequently|adverb|as a consequence|consequently.r.02|he had good reason to be grateful for the opportunities which they had made available to him and which consequently led to the good position he now held|He overate last night, consequently waking up feeling very sluggish and tired this morning.|1
60|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|After years of hard work and dedication, Steven's effort paid off with the publication of his first book.|0
61|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship trophy in his first season with the team was his ultimate effort.|1
62|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|His master's thesis was his greatest effort so far, resulting in high praise from his supervisors.|1
63|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship was the team's greatest effort this season.|1
64|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship this year was the team’s best effort.|1
65|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship was the team's greatest effort.|1
66|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Even though he came in second place, his incredible jump was his best effort yet.|1
67|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship was his best effort in his entire career.|1
68|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship was the ultimate effort of the team.|1
70|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship was the culmination of their months-long effort.|0
71|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the national championship was their greatest effort as a team.|1
72|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Her gold medal was a magnificent effort that everyone trumped this year.|1
73|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the championship was our team's finest effort this season.|1
74|effort|noun|a notable achievement|feat.n.01|the book was her finest effort|Winning the gold medal was the diver's incredible effort.|1
78|effort|noun|use of physical or mental energy; hard work|effort.n.02|he got an A for effort|She put a lot of effort into her exercise routine and it showed in her improved health.|1
90|reduced|adjective|well below normal (especially in price)|reduced.s.02|The bill is designed to provide special schooling for more deaf students in the scholastic age at a reduced cost to the state.|I was able to find a pair of running shoes that were equally comfortable and supportive but also came at a reduced price due to the holiday sale.|1
91|reduced|adjective|well below normal (especially in price)|reduced.s.02|The bill is designed to provide special schooling for more deaf students in the scholastic age at a reduced cost to the state.|I found a great deal on shoes at the store - they were reduced by 50%!|1
92|reduced|adjective|well below normal (especially in price)|reduced.s.02|The bill is designed to provide special schooling for more deaf students in the scholastic age at a reduced cost to the state.|I bought this jacket at a reduced price.|1
93|set|verb|become gelatinous|jell.v.01|A number of c clamps hold the pieces together on the jig until the glue sets.|The jelly slowly began to set as it cooled in the refrigerator.|1
94|set|verb|become gelatinous|jell.v.01|A number of c clamps hold the pieces together on the jig until the glue sets.|I left the Jello mixture in the fridge to set overnight.|1
95|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|She gave me specific instructions on how to prepare the dish.|1
97|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|She gave specific instructions on how to complete the project.|1
98|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The trainer provided specific instructions regarding the time, duration, and intensity of the exercise routine.|1
100|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The teacher gave specific instructions on how to solve the math problem.|1
101|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|He provided specific instructions for how to complete the task.|1
102|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|I want to give specific instructions on how to properly use the equipment.|1
103|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The instructions for the assignment were very specific about the required word count and formatting.|1
104|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The academic guidelines provided specific instructions on formatting the research paper.|1
105|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|I gave him specific instructions on how to prepare the presentation.|1
107|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|She provided a specific list of instructions for completing the project.|1
108|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The plumber gave a specific estimate for the cost of repairs.|1
110|specific|adjective|stated explicitly or in detail|specific.s.02|needed a specific amount|The professor gave us specific guidelines on how to format our research papers.|1
111|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|Can you please reach me the pen on the table?|1
113|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|The nurse reached the medication to the patient before bedtime.|1
114|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|I reached over and handed the car keys to my brother.|0
116|reach|verb|place into the hands or custody of|pass.v.05|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.|He reached the package safely to its intended recipient.|1
122|need|verb|have or feel a need for|need.v.03|always needing friends and money|She had accustomed herself to a small life, but she couldn't help needing big dreams.|1
123|need|verb|have or feel a need for|need.v.03|always needing friends and money|I need to take a break because I am feeling overwhelmed.|1
128|need|verb|have or feel a need for|need.v.03|always needing friends and money|I can see that you need more time to learn this material.|0
130|economical|adjective|avoiding waste|economical.s.03|an economical meal|He's a naturally simple man with super economical habits.|1
131|economical|adjective|of or relating to an economy, the system of production and management of material wealth|economic.a.01|aspects of social, political, and economical life|The economists discussed the economical policies of the government.|1
132|printing|noun|the business of producing printed material for sale or distribution|printing.n.02|Are you using the most economical printing methods, paper, etc..|The printing company specializes in producing high-quality marketing material for small businesses.|1
133|paper|noun|a business firm that publishes newspapers|newspaper.n.02|He then got a job with the chicago herald-examiner as a circulation slugger, a rough fighter employed to see that his paper's news pitches were not trespassed upon by rival vendors.|The paper has been in operation for over a century.|1
136|cheap|adjective|tastelessly showy|brassy.s.02|Claire felt suddenly small and cheap, heroine of a trivial episode in the voluminous history of don juan.|I don't want my clothing to look cheap with tacky designs and gaudy embellishments.|1
138|communication|noun|a connection allowing access between persons or places|communication.n.03|how many lines of communication can there be among four people?|The construction of the new bridge improved the communication between the two towns.|1
139|communication|noun|a connection allowing access between persons or places|communication.n.03|how many lines of communication can there be among four people?|The room didn't have any windows, and the lack of communication with the outside world made him feel anxious.|1
141|communication|noun|something that is communicated by or to or between people or groups|communication.n.02|Mary would have to carry the human communication.|The misinterpreted letters ruined the communication between them.|0
143|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|John's technique of playing the guitar was an example of true mastery that came from years of nonstop practice.|1
144|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The player's technique was flawless, nothing could stop him from scoring a goal.|1
148|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|Painter Bob Ross excelled in the technique of layering colors to create blended and lifelike landscapes on the canvas.|0
152|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|The art instructor praised her drawings and the air brush technique she employed to create a near lifelike portrait of the subject.|0
155|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|She has developed great basketball-shooting technique through consistent practice and hard work.|1
157|technique|noun|skillfulness in the command of fundamentals deriving from practice and familiarity|proficiency.n.02|He respected each of these approach techniques, and kept them in character :|She has excellent blocking technique in volleyball.|1
178|attitude|noun|a theatrical pose created for effect|attitude.n.03|the actor struck just the right attitude|The runway model nailed every attitude in the fashion show.|1
200|attitude|noun|the arrangement of the body and its limbs|position.n.04|he assumed an attitude of surrender|The dancer's attitude was perfect during the performance.|0
218|encourage|verb|inspire with confidence; give hope or courage to|encourage.v.02|Encourage them to exercise their benefits.|During my speech, I encouraged the students to never give up on their dreams and inspired them with hope for their future success.|1
220|free|adjective|not occupied or in use|free.s.04|a free lane|The hotel lobby was empty and there were plenty of free seats to choose from.|1
221|free|adjective|not occupied or in use|free.s.04|a free lane|There are many free parking spaces available in the parking lot.|1
223|free|adjective|not occupied or in use|free.s.04|a free lane|I found a free chair by the window and sat down to read my book.|1
231|free|adjective|unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion|free.a.02|free oxygen|The electrons present in this metal are in the free state.|1
255|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|She studied political science because she was interested in the intricacies of government.|1
256|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|The government's handling of the disaster has been criticised by many.|0
264|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|The government's approach to immigration has been the subject of much discussion recently.|0
266|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|A strong and effective government is crucial for the stability of a nation.|0
267|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|The government of Canada is responsible for the good governance and welfare of its citizens.|0
271|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|The success of a government in its act of governing greatly depends on its strategies and policies.|0
277|government|noun|the act of governing; exercising authority|government.n.02|he had considerable experience of government|The government of that country is facing criticism for its handling of the pandemic.|0
281|offer|verb|produce or introduce on the stage|offer.v.08|The Shakespeare Company is offering `King Lear' this month|The theatre is offering an emotional drama this season.|1
283|offer|verb|produce or introduce on the stage|offer.v.08|The Shakespeare Company is offering `King Lear' this month|The theater will offer a free show featuring the upcoming stars of the comedy scene.|1
290|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|I highly recommend this new restaurant reservations for their excellent seafood.|1
297|recommend|verb|express a good opinion of|commend.v.04|Supt. clarence s. taylor had recommended roger i. vermeersch for the post.|The professor recommended Kelly for the scholarship due to her exceptional work in the biology course.|1
308|condition|noun|a mode of being or form of existence of a person or thing|condition.n.03|the human condition|The economic condition in the country influences the struggles of the common people.|1
317|condition|noun|information that should be kept in mind when making a decision|circumstance.n.03|His religious beliefs provide him with plausible explanations for many conditions which cause him great concern, and his religious faith makes possible fortitude, equanimity, and consolation, enabling him to endure colossal misfortune, fear, frustration, uncertainty, suffering, evil, and danger.|My decision regarding further education was influenced greatly by the condition of my finances.|0
322|condition|noun|information that should be kept in mind when making a decision|circumstance.n.03|His religious beliefs provide him with plausible explanations for many conditions which cause him great concern, and his religious faith makes possible fortitude, equanimity, and consolation, enabling him to endure colossal misfortune, fear, frustration, uncertainty, suffering, evil, and danger.|Before making a final decision, it is important to take into account the condition of the equipment being used in order to avoid mishaps.|0
325|condition|noun|an assumption on which rests the validity or effect of something else|condition.n.02|This is what we mean when we say this demand must be accepted without condition.|The success of the project depends on the condition that everyone completes their assigned tasks on time.|1
332|try|verb|put to the test, as for its quality, or give experimental use to|test.v.01|This approach has been tried with good results|I want to try this new recipe to see how it tastes.|1
335|try|verb|put to the test, as for its quality, or give experimental use to|test.v.01|This approach has been tried with good results|I'd like to try this new recipe to see if it works well for our restaurant.|1
341|try|verb|put to the test, as for its quality, or give experimental use to|test.v.01|This approach has been tried with good results|I want to try this new type of fabric on my dress to see how it holds up in the wash.|1
353|try|verb|put to the test, as for its quality, or give experimental use to|test.v.01|This approach has been tried with good results|I decided to try a new recipe for dinner to see if it would be a hit with my family.|1
419|try|verb|put on trial or hear a case and sit as the judge at the trial of|judge.v.05|The football star was tried for the murder of his wife|The judge who will try the case has not been appointed yet.|1
423|effectiveness|noun|capacity to produce strong physiological or chemical effects|potency.n.02|All comments concerning effectiveness and use of drugs have been carefully reviewed by a veterinary medical officer with fda.|The effectiveness of the new painkiller was evident when patients reported a significant reduction in pain within minutes of taking it.|1
427|union|noun|the United States (especially the northern states during the American Civil War)|union.n.02|She is well-educated and refined, all wildcat and fur, and union from the muzzle to the crupper''.|During the American Civil War, the union worked tirelessly to progress its military efforts and preserve the nation's unity.|1
432|union|noun|the act of pairing a male and female for reproductive purposes|coupling.n.03|There is general agreement also that sex union between husbands and wives as an expression of mutual affection without relation to procreation is right''.|The animal reproduction farm has breeding unions scheduled every week.|1
440|sure|adjective|reliable in operation or effect|certain.s.06|a sure way to distinguish the two|Using a dictionary is a surefire way of always being sure about the accuracy of the words being used.|0
441|cent|noun|a coin worth one-hundredth of the value of the basic unit|penny.n.02|There i was a retired wobbly and structural iron worker who'd never gouged a cent off a fellow worker in my thirty years in the movement.|My grandmother still collects cents from the early 1900s.|1
443|cent|noun|a coin worth one-hundredth of the value of the basic unit|penny.n.02|There i was a retired wobbly and structural iron worker who'd never gouged a cent off a fellow worker in my thirty years in the movement.|I found a few cents underneath the sofa cushion.|1
445|cent|noun|a coin worth one-hundredth of the value of the basic unit|penny.n.02|There i was a retired wobbly and structural iron worker who'd never gouged a cent off a fellow worker in my thirty years in the movement.|Kim needed 68 cents to buy a candy bar from the vending machine.|0
449|hour|noun|clock time|hour.n.02|the hour is getting late|Could you tell me what hour the train arrives?|1
451|hour|noun|clock time|hour.n.02|the hour is getting late|I need another hour to finish my work before the deadline.|0
460|hour|noun|clock time|hour.n.02|the hour is getting late|His appointment with the dentist is in just less than an hour, he needs to leave as soon as possible.|0
467|hour|noun|clock time|hour.n.02|the hour is getting late|Could we please arrange to meet at Charl's Cafe at the corner of the street fine feathers fly about at nine o'clock in the evening- do you mind pushing the hour back to half past nine?|1
482|cost|noun|the property of having material worth (often indicated by the amount of money something would bring if sold)|monetary_value.n.01|he couldn't calculate the cost of the collection|The cost of the vintage watch was too steep for the average collector to afford.|1
504|cost|noun|value measured by what must be given or done or undergone to obtain something|price.n.03|the cost in human life was enormous|The cost of getting that promotion was sacrificing time with her family and working overtime every day.|1
505|pay|verb|render|pay.v.08|pay a call|I need to pay my respects to my grandparents by visiting them to render my condolences.|1
506|pay|verb|render|pay.v.08|pay a call|I am going to pay my respects to my grandmother by visiting her grave.|1
526|pay|verb|bear (a cost or penalty), in recompense for some action|pay.v.09|You'll pay for this!|If caught, he'll definitely pay for his crimes.|1
537|money|noun|wealth reckoned in terms of money|money.n.02|all his money is in real estate|Her family's money comes from long-standing businesses.|1
546|money|noun|wealth reckoned in terms of money|money.n.02|all his money is in real estate|The inherited paintings of her relatives held sentimental value, but it was the investment portfolio in diverse industries that represented her real money.|1
555|contract|noun|(contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make|contract.n.02|Cox argued that the bill is `` probably unconstitutional'' since, he said, it would impair contracts.|The contract they agreed upon was to make nine tricks in spades.|1
556|contract|noun|(contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make|contract.n.02|Cox argued that the bill is `` probably unconstitutional'' since, he said, it would impair contracts.|My partner declared to make 6 clubs as his contract in our game of Contract Bridge.|1
558|contract|noun|(contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make|contract.n.02|Cox argued that the bill is `` probably unconstitutional'' since, he said, it would impair contracts.|Her contract was to make at least 7 tricks in order to win the game.|1
562|contract|noun|(contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make|contract.n.02|Cox argued that the bill is `` probably unconstitutional'' since, he said, it would impair contracts.|Lucy won the contract in a game of bridge, and set the number of tricks to be taken at a daring 7 level.|1
563|contract|noun|(contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make|contract.n.02|Cox argued that the bill is `` probably unconstitutional'' since, he said, it would impair contracts.|The experienced bridge player outbid the others and set a challenging contract of 6 spades.|1
566|group|noun|(chemistry) two or more atoms bound together as a single unit and forming part of a molecule|group.n.02|(3) for anionics, these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar groups (the ionized ends) face outward towards the aqueous continuous phase.|Our organic chemistry class was asked to identify the functional group in each molecule given.|1
575|group|noun|(chemistry) two or more atoms bound together as a single unit and forming part of a molecule|group.n.02|(3) for anionics, these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar groups (the ionized ends) face outward towards the aqueous continuous phase.|The methyl group is a common substituent found in organic molecules.|1
579|group|noun|(chemistry) two or more atoms bound together as a single unit and forming part of a molecule|group.n.02|(3) for anionics, these micelles appear to be roughly spherical assemblages in which the hydrocarbon tails come together so that the polar groups (the ionized ends) face outward towards the aqueous continuous phase.|Nitrogen atoms form a group of two in a nitrogen molecule (N2).|1
601|understand|verb|be understanding of|sympathize.v.02|You don't need to explain--I understand!|I understand the difficulties that you're going through.|1
610|insurance|noun|written contract or certificate of insurance|policy.n.03|Don't go overboard on insurance that pays benefits only upon death.|Before he had those legal papers in hand, he hoped to get insurance for theft.|0
611|insurance|noun|written contract or certificate of insurance|policy.n.03|Don't go overboard on insurance that pays benefits only upon death.|Her insurance policy clearly stated that any damages incurred during natural disasters would not be covered.|1
615|entitle|verb|give a title to|entitle.v.02|Last october he gave a public speech in washington, d. c. entitled `` are women here to stay''?|I want to entitle my new essay “Confessions of a Middle-Aged Drama Queen.”|1
623|full|adjective|having the normally expected amount|full.s.06|gives full measure|I want a full cup of coffee in the morning.|0
624|value|noun|relative darkness or lightness of a color; -Joe Hing Lowe|value.n.04|I establish the colors and principal values by organizing the painting into three values--dark, medium...and light|The painting's overall value was determined by its use of contrasting light and dark tones.|0
625|value|noun|relative darkness or lightness of a color; -Joe Hing Lowe|value.n.04|I establish the colors and principal values by organizing the painting into three values--dark, medium...and light|The graphic design project required a careful consideration of the value of colors used for impactful contrast.|1
626|value|noun|relative darkness or lightness of a color; -Joe Hing Lowe|value.n.04|I establish the colors and principal values by organizing the painting into three values--dark, medium...and light|In digital art, it's important to pay attention to the value of each color used in order to convey a two-dimensional illusion of three-dimensional depth.|1
633|company|noun|a social gathering of guests or companions|company.n.06|the house was filled with company when I arrived|She held a small company to celebrate her graduation.|1
635|share|noun|the part played by a person in bringing about a result|contribution.n.01|they all did their share of the work|I did my share of the presentation and convinced the investors to bring in more funds.|1
636|last|adverb|the item at the end|last.r.02|last, I'll discuss family values|We will cook dinner first, and last, we will make dessert.|1
639|compare|verb|consider or describe as similar, equal, or analogous|compare.v.03|We can compare the Han dynasty to the Romans|You can't compare apples to oranges, as Oscar Wilde once said.|1
640|compare|verb|consider or describe as similar, equal, or analogous|compare.v.03|We can compare the Han dynasty to the Romans|When looking at children, it's unfair to always compare them to others based solely on grades and achievements.|0
641|compare|verb|consider or describe as similar, equal, or analogous|compare.v.03|We can compare the Han dynasty to the Romans|He always tries to compare himself to his wealthy colleagues.|0
648|source|noun|someone who originates or causes or initiates something|generator.n.03|He looked for the source of the noise that had awakened him * * h it was that prick coughlin.|The source of the company's success is their innovative CEO.|1
649|source|noun|someone who originates or causes or initiates something|generator.n.03|He looked for the source of the noise that had awakened him * * h it was that prick coughlin.|Bill Gates is a source of innovation for modern technology.|1
650|source|noun|someone who originates or causes or initiates something|generator.n.03|He looked for the source of the noise that had awakened him * * h it was that prick coughlin.|The company's CEO is the source behind the new advertising campaign.|1
664|aid|verb|improve the condition of|help.v.02|Arm, shoulder, chest, upper and lower back strength will be aided with the horse kick.|The new traffic measures put in place will aid in reducing the recurring traffic congestion.|0
701|fully|adverb|referring to a quantity|in_full.r.01|Do you try to maintain the principle of employee contributed (as opposed to fully company paid) programs?|I would like to fully understand the clearly laid-out guidelines of this project since finances involve not only usage of expense-profit measurement, but also targets to maximize rates of returns determining whether outflows exceed inflows or not.|0
705|fully|adverb|referring to a quantity|in_full.r.01|Do you try to maintain the principle of employee contributed (as opposed to fully company paid) programs?|We only accept a calorie limit of 1,500 per day with meat products being fully mentioned in allowances.|0
718|protect|verb|use tariffs to favor domestic industry|protect.v.02|That kind of poverty was regarded as the exclusive property of the east, which created depressions with their stock markets and their congested populations and their greedy centralization of industries, protected by discriminatory freight rates.|The representatives demanded to protect the national workforce by proposing a new law which implements tariffs on foreign manufactured goods.|1
735|holiday|noun|a day on which work is suspended by law or custom|holiday.n.02|no mail is delivered on federal holidays|Christmas and Independence Day are among the most popular holiday observances in the United States.|1
736|privilege|noun|a right reserved exclusively by a particular person or group (especially a hereditary or official right)|prerogative.n.01|That is his privilege.|In some cultures, royalty have the privilege of wearing elaborate outfits that regular citizens aren't allowed to wear.|1
740|plan|verb|make a design of; plan out in systematic, often graphic form|design.v.04|plan the new wing of the museum|The architecture firm plans to draft and finalize the blueprints for the shopping mall project soon.|0
743|limit|verb|restrict or confine,|limit.v.02|I limit you to two visits to the pub a day|I limit the number of candies you can have to one per day.|0
