index|lemma|human_readable_pos|synset_key_name|definition|example
28|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
29|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
30|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
31|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
32|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
33|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
34|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
35|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
36|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
37|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
38|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
39|be|verb|Synset('be.v.11')|have life, be alive|Our great leader is no more
40|review|verb|Synset('review.v.03')|hold a review (of troops)|`` the committee continues to feel that florida has progressed in a sound and equitable program at both the state and local levels in its efforts to review and assess transition problems as they arise from time to time in the entire spectrum of civil rights''.
41|benefit|noun|Synset('benefit.n.03')|a performance to raise money for a charitable cause|The play for saturday night was to be a benefit performance of the octoroon.
42|service|noun|Synset('military_service.n.01')|a force that is a branch of the armed forces|In his report to the attorney general, the hearing officer suggested that the petitioner be exempt only from combatant training and service.
43|program|noun|Synset('platform.n.02')|a document stating the aims and principles of a political party|they won the election even though they offered no positive program
44|program|noun|Synset('platform.n.02')|a document stating the aims and principles of a political party|they won the election even though they offered no positive program
45|program|noun|Synset('platform.n.02')|a document stating the aims and principles of a political party|they won the election even though they offered no positive program
46|program|noun|Synset('platform.n.02')|a document stating the aims and principles of a political party|they won the election even though they offered no positive program
47|program|noun|Synset('platform.n.02')|a document stating the aims and principles of a political party|they won the election even though they offered no positive program
48|program|noun|Synset('program.n.02')|a system of projects or services intended to meet a public need|working mothers rely on the day care program
49|program|noun|Synset('program.n.02')|a system of projects or services intended to meet a public need|working mothers rely on the day care program
50|program|noun|Synset('program.n.02')|a system of projects or services intended to meet a public need|working mothers rely on the day care program
51|program|noun|Synset('program.n.02')|a system of projects or services intended to meet a public need|working mothers rely on the day care program
52|program|noun|Synset('program.n.02')|a system of projects or services intended to meet a public need|working mothers rely on the day care program
53|program|noun|Synset('broadcast.n.02')|a radio or television show|did you see his program last night?
54|program|noun|Synset('broadcast.n.02')|a radio or television show|did you see his program last night?
55|program|noun|Synset('broadcast.n.02')|a radio or television show|did you see his program last night?
56|program|noun|Synset('broadcast.n.02')|a radio or television show|did you see his program last night?
57|program|noun|Synset('broadcast.n.02')|a radio or television show|did you see his program last night?
58|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
59|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
60|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
61|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
62|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
63|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
64|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
65|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
66|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
67|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
68|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
69|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
70|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
71|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
72|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
73|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
74|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
75|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
76|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
77|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
78|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
79|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
80|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
81|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
82|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
83|become|verb|Synset('become.v.03')|come into existence|What becomes has duration
84|rather|adverb|Synset('preferably.r.01')|more readily or willingly|I'd rather be in Philadelphia
85|rather|adverb|Synset('preferably.r.01')|more readily or willingly|I'd rather be in Philadelphia
86|rather|adverb|Synset('preferably.r.01')|more readily or willingly|I'd rather be in Philadelphia
87|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
88|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
89|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
90|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
91|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
92|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
93|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
94|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
95|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
96|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
97|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
98|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
99|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
100|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
101|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
102|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
103|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
104|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
105|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
106|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
107|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
108|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
109|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
110|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
111|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
112|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
113|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
114|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
115|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
116|have|verb|Synset('take.v.35')|have sex with; archaic use|But, by gosh, i want him and i'm going to have him!
117|consequently|adverb|Synset('consequently.r.02')|as a consequence|he had good reason to be grateful for the opportunities which they had made available to him and which consequently led to the good position he now held
118|consequently|adverb|Synset('consequently.r.02')|as a consequence|he had good reason to be grateful for the opportunities which they had made available to him and which consequently led to the good position he now held
119|consequently|adverb|Synset('consequently.r.02')|as a consequence|he had good reason to be grateful for the opportunities which they had made available to him and which consequently led to the good position he now held
120|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
121|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
122|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
123|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
124|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
125|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
126|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
127|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
128|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
129|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
130|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
131|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
132|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
133|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
134|effort|noun|Synset('effort.n.02')|use of physical or mental energy; hard work|he got an A for effort
135|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
136|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
137|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
138|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
139|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
140|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
141|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
142|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
143|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
144|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
145|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
146|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
147|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
148|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
149|effort|noun|Synset('feat.n.01')|a notable achievement|the book was her finest effort
150|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
151|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
152|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
153|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
154|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
155|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
156|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
157|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
158|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
159|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
160|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
161|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
162|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
163|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
164|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
165|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
166|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
167|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
168|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
169|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
170|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
171|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
172|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
173|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
174|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
175|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
176|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
177|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
178|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
179|make|verb|Synset('stool.v.04')|have a bowel movement|The dog had made in the flower beds
180|reduced|adjective|Synset('reduced.s.02')|well below normal (especially in price)|The bill is designed to provide special schooling for more deaf students in the scholastic age at a reduced cost to the state.
181|reduced|adjective|Synset('reduced.s.02')|well below normal (especially in price)|The bill is designed to provide special schooling for more deaf students in the scholastic age at a reduced cost to the state.
182|reduced|adjective|Synset('reduced.s.02')|well below normal (especially in price)|The bill is designed to provide special schooling for more deaf students in the scholastic age at a reduced cost to the state.
183|set|verb|Synset('jell.v.01')|become gelatinous|A number of c clamps hold the pieces together on the jig until the glue sets.
184|set|verb|Synset('jell.v.01')|become gelatinous|A number of c clamps hold the pieces together on the jig until the glue sets.
185|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
186|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
187|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
188|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
189|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
190|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
191|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
192|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
193|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
194|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
195|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
196|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
197|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
198|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
199|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
200|specific|adjective|Synset('specific.s.02')|stated explicitly or in detail|needed a specific amount
201|reach|verb|Synset('pass.v.05')|place into the hands or custody of|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.
202|reach|verb|Synset('pass.v.05')|place into the hands or custody of|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.
203|reach|verb|Synset('pass.v.05')|place into the hands or custody of|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.
204|reach|verb|Synset('pass.v.05')|place into the hands or custody of|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.
205|reach|verb|Synset('pass.v.05')|place into the hands or custody of|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.
206|reach|verb|Synset('pass.v.05')|place into the hands or custody of|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.
207|reach|verb|Synset('pass.v.05')|place into the hands or custody of|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.
208|reach|verb|Synset('pass.v.05')|place into the hands or custody of|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.
209|reach|verb|Synset('pass.v.05')|place into the hands or custody of|By the time barco reached the count of three, the situation seemed to welch almost too good to be true.
210|need|verb|Synset('need.v.03')|have or feel a need for|always needing friends and money
211|need|verb|Synset('need.v.03')|have or feel a need for|always needing friends and money
212|need|verb|Synset('need.v.03')|have or feel a need for|always needing friends and money
213|need|verb|Synset('need.v.03')|have or feel a need for|always needing friends and money
214|need|verb|Synset('need.v.03')|have or feel a need for|always needing friends and money
215|need|verb|Synset('need.v.03')|have or feel a need for|always needing friends and money
216|need|verb|Synset('need.v.03')|have or feel a need for|always needing friends and money
217|need|verb|Synset('need.v.03')|have or feel a need for|always needing friends and money
218|need|verb|Synset('need.v.03')|have or feel a need for|always needing friends and money
219|need|verb|Synset('need.v.03')|have or feel a need for|always needing friends and money
220|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
221|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
222|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
223|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
224|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
225|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
226|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
227|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
228|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
229|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
230|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
231|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
232|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
233|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
234|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
235|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
236|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
237|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
238|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
239|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
240|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
241|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
242|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
243|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
244|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
245|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
246|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
247|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
248|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
249|use|verb|Synset('use.v.02')|take or consume (regularly or habitually)|She uses drugs rarely
250|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
251|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
252|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
253|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
254|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
255|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
256|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
257|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
258|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
259|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
260|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
261|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
262|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
263|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
264|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
265|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
266|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
267|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
268|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
269|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
270|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
271|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
272|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
273|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
274|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
275|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
276|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
277|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
278|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
279|use|verb|Synset('use.v.03')|use up, consume fully|He's my own horse, and what i collect from him i use on blackjack.
280|most|adverb|Synset('most.r.02')|very|a most welcome relief
281|most|adverb|Synset('most.r.02')|very|a most welcome relief
282|most|adverb|Synset('most.r.02')|very|a most welcome relief
283|most|adverb|Synset('most.r.02')|very|a most welcome relief
284|most|adverb|Synset('most.r.02')|very|a most welcome relief
285|most|adverb|Synset('most.r.02')|very|a most welcome relief
286|most|adverb|Synset('most.r.02')|very|a most welcome relief
287|most|adverb|Synset('most.r.02')|very|a most welcome relief
288|most|adverb|Synset('most.r.02')|very|a most welcome relief
289|most|adverb|Synset('most.r.02')|very|a most welcome relief
290|most|adverb|Synset('most.r.02')|very|a most welcome relief
291|most|adverb|Synset('most.r.02')|very|a most welcome relief
292|most|adverb|Synset('most.r.02')|very|a most welcome relief
293|most|adverb|Synset('most.r.02')|very|a most welcome relief
294|most|adverb|Synset('most.r.02')|very|a most welcome relief
295|most|adverb|Synset('most.r.02')|very|a most welcome relief
296|most|adverb|Synset('most.r.02')|very|a most welcome relief
297|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
298|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
299|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
300|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
301|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
302|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
303|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
304|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
305|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
306|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
307|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
308|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
309|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
310|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
311|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
312|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
313|most|adverb|Synset('about.r.07')|(of actions or states) slightly short of or not quite accomplished; all but|most everyone agrees
314|economical|adjective|Synset('economical.s.03')|avoiding waste|an economical meal
315|economical|adjective|Synset('economic.a.01')|of or relating to an economy, the system of production and management of material wealth|aspects of social, political, and economical life
316|printing|noun|Synset('printing.n.02')|the business of producing printed material for sale or distribution|Are you using the most economical printing methods, paper, etc..
317|paper|noun|Synset('newspaper.n.02')|a business firm that publishes newspapers|He then got a job with the chicago herald-examiner as a circulation slugger, a rough fighter employed to see that his paper's news pitches were not trespassed upon by rival vendors.
318|other|adjective|Synset('other.s.02')|recently past|the other evening
319|other|adjective|Synset('other.s.02')|recently past|the other evening
320|other|adjective|Synset('other.s.02')|recently past|the other evening
321|other|adjective|Synset('other.s.02')|recently past|the other evening
322|other|adjective|Synset('other.s.02')|recently past|the other evening
323|other|adjective|Synset('other.s.02')|recently past|the other evening
324|other|adjective|Synset('other.s.02')|recently past|the other evening
325|other|adjective|Synset('other.s.02')|recently past|the other evening
326|other|adjective|Synset('other.s.02')|recently past|the other evening
327|other|adjective|Synset('other.s.02')|recently past|the other evening
328|other|adjective|Synset('other.s.02')|recently past|the other evening
329|other|adjective|Synset('other.s.02')|recently past|the other evening
330|other|adjective|Synset('other.s.02')|recently past|the other evening
331|other|adjective|Synset('other.s.02')|recently past|the other evening
332|other|adjective|Synset('other.s.02')|recently past|the other evening
333|other|adjective|Synset('other.s.02')|recently past|the other evening
334|other|adjective|Synset('other.s.02')|recently past|the other evening
